entry_time,mint,symbol,entry_price_usd,exit_time,exit_price_usd,exit_reason,pnl_percent,pnl_usd,pnl_sol,assumed_position_usd,assumed_position_sol,ret15_percent,ret5_percent,greens_last5,likely_non_fill_reason,confidence,confidence_notes
2026-02-24T16:00:25.794Z,7CWLxXfjRZ8WP8HVWBSHoti9pVP9FfN5UwZ71JyXpump,Limited,0.0002839,2026-02-24T16:24:40.388Z,0.000339416,trailingStop,+19.55%,3.9110,0.04739402,20.0000,0.24236549,+10.86%,+4.22%,2,data insufficiency/unknown,medium,candidate reason=marketData(lowConfidence)
2026-02-24T16:00:25.795Z,EahUihCyvsJVg8wWafXc5ytxaReFXms514wKvmBQcLAw,CLAW,0.0001889,2026-02-24T16:00:50.114Z,0.00018880555000000003,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+10.73%,+9.19%,2,cooldown collision,high,prev event 21s ago (< cooldown 180s)
2026-02-24T16:00:25.796Z,4fSWEw2wbYEUCcMtitzmeGUfqinoafXxkhqZrA9Gpump,Pigeon,0.002038,2026-02-24T16:00:50.114Z,0.002036981,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+14.24%,+4.41%,2,data insufficiency/unknown,medium,candidate reason=marketData(lowConfidence)
2026-02-24T16:00:25.796Z,H7noGdq7WnvbfdgnZzwYtRdZFCADe5rivUjuiofKpump,RETURN,0.0005518,2026-02-24T16:00:50.115Z,0.0005515241,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+12.36%,+29.32%,3,cooldown collision,high,prev event 21s ago (< cooldown 180s)
2026-02-24T16:00:50.114Z,7CWLxXfjRZ8WP8HVWBSHoti9pVP9FfN5UwZ71JyXpump,Limited,0.0002839,2026-02-24T16:24:40.388Z,0.000339416,trailingStop,+19.55%,3.9110,0.04739402,20.0000,0.24236549,+9.74%,+4.22%,2,cooldown collision,high,prev event 24s ago (< cooldown 180s)
2026-02-24T16:00:50.114Z,ByPRjYBLskAca3sRhfaAA7ZYumG5bFLvE9xETWVdpump,ADHD,0.0000286,2026-02-24T16:05:57.493Z,0.000042213600000000005,trailingStop,+47.60%,9.5200,0.11536597,20.0000,0.24236549,+68.93%,+29.71%,2,cooldown collision,high,prev event 153s ago (< cooldown 180s)
2026-02-24T16:00:50.115Z,H7noGdq7WnvbfdgnZzwYtRdZFCADe5rivUjuiofKpump,RETURN,0.0004968,2026-02-24T16:01:12.020Z,0.0004965516000000001,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+12.55%,+11.49%,2,cooldown collision,high,prev event 24s ago (< cooldown 180s)
2026-02-24T16:01:12.019Z,7CWLxXfjRZ8WP8HVWBSHoti9pVP9FfN5UwZ71JyXpump,Limited,0.0003013,2026-02-24T16:01:29.487Z,0.00030114935,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+12.93%,+8.03%,3,cooldown collision,high,prev event 22s ago (< cooldown 180s)
2026-02-24T16:01:12.019Z,ByPRjYBLskAca3sRhfaAA7ZYumG5bFLvE9xETWVdpump,ADHD,0.0000286,2026-02-24T16:05:57.493Z,0.000042213600000000005,trailingStop,+47.60%,9.5200,0.11536597,20.0000,0.24236549,+68.93%,+33.33%,2,cooldown collision,high,prev event 22s ago (< cooldown 180s)
2026-02-24T16:01:12.020Z,EahUihCyvsJVg8wWafXc5ytxaReFXms514wKvmBQcLAw,CLAW,0.0001961,2026-02-24T16:04:59.079Z,0.00019600195,stopAtEntry,-0.05%,-0.0100,-0.00012118,20.0000,0.24236549,+15.01%,+13.03%,2,cooldown collision,high,prev event 46s ago (< cooldown 180s)
