entryT,mint,symbol,entryPrice,ret15,ret5,greensLast5,cooldownCollision,sampleGapPrevMs,sampleGapNextMs,minFuture2mPct,trackedSameDay,nearCandOutcome,nearCandReason,likelyNonFillReason,confidence,confidenceNotes,proxyExitReason,proxyPnlPct,maxRunupPct,maxDrawdownPct
2026-02-24T18:32:56.827Z,1ugKvQBmxESGM8RX3RmBNVEwwko8i4jRaueYz9kcyai,REVAunits,0.009747,0.18721071863581001,0.04998384143057211,2,true,19623,22393,-0.20129270544783012,true,seen,evaluated,cooldown collision,high,prev event 35s ago (< cooldown 180s),stopAtEntry,-0.0004999999999998693,0.018056838001436242,-0.19400841284497797
2026-02-24T18:33:19.220Z,1ugKvQBmxESGM8RX3RmBNVEwwko8i4jRaueYz9kcyai,REVAunits,0.009923,0.13535469107551487,0.06894322955940967,3,true,22393,16041,-0.21545903456615936,true,seen,evaluated,cooldown collision,high,prev event 22s ago (< cooldown 180s),stopAtEntry,-0.0004999999999999239,0,-0.20830394034062275
2026-02-24T18:33:19.221Z,7NoFtDpmQvE9JsRv7o6zgYZJBEcixWumJaZsDoyrpump,Xingxing,0.0001599,0.2067924528301888,0.1923937360178971,2,true,22395,16041,-0.04127579737335833,true,seen,evaluated,cooldown collision,high,prev event 139s ago (< cooldown 180s),stopAtEntry,-0.0004999999999999733,0,-0.0125078173858663
2026-02-24T18:33:35.261Z,1ugKvQBmxESGM8RX3RmBNVEwwko8i4jRaueYz9kcyai,REVAunits,0.009923,0.13535469107551487,0.06894322955940967,2,true,16041,19711,-0.21545903456615936,true,seen,evaluated,cooldown collision,high,prev event 16s ago (< cooldown 180s),stopAtEntry,-0.0004999999999999239,0,-0.20830394034062275
2026-02-24T18:33:35.262Z,7NoFtDpmQvE9JsRv7o6zgYZJBEcixWumJaZsDoyrpump,Xingxing,0.0001599,0.2067924528301888,0.17573529411764716,2,true,16041,19710,-0.04127579737335833,true,seen,evaluated,cooldown collision,high,prev event 16s ago (< cooldown 180s),stopAtEntry,-0.0004999999999999733,0,-0.0125078173858663
2026-02-24T18:33:54.972Z,7NoFtDpmQvE9JsRv7o6zgYZJBEcixWumJaZsDoyrpump,Xingxing,0.0001579,0.19169811320754712,0.1610294117647058,2,true,19710,21042,-0.029132362254591364,true,seen,evaluated,cooldown collision,high,prev event 20s ago (< cooldown 180s),stopAtEntry,-0.0004999999999998733,0,-0.029132362254591364
2026-02-24T18:33:54.973Z,DZq1fdJfGjv27Cev8hNFZXJwhApB3xHpo3KMTTRvpump,Fergani ,0.0003168,0.6279547790339158,0.12619978670458584,2,true,19710,21042,-0.09627525252525247,true,seen,evaluated,cooldown collision,high,prev event 94s ago (< cooldown 180s),stopAtEntry,-0.0004999999999998985,0,-0.00284090909090916
2026-02-24T18:34:16.015Z,DZq1fdJfGjv27Cev8hNFZXJwhApB3xHpo3KMTTRvpump,Fergani ,0.0003168,0.6279547790339158,0.12619978670458584,2,true,21042,20928,-0.09627525252525247,true,seen,evaluated,cooldown collision,high,prev event 21s ago (< cooldown 180s),stopAtEntry,-0.0004999999999998985,0,-0.00284090909090916
2026-02-24T18:34:36.942Z,6ydMmFRaNt4AHBjgvSogbBvcxnTrX3QzUe2AEzVppump,Pippkin,0.001593,0.12500000000000006,0.04733727810650889,2,true,20927,17484,-0.006277463904582565,true,seen,evaluated,cooldown collision,high,prev event 136s ago (< cooldown 180s),stopAtEntry,-0.0004999999999999436,0,-0.006277463904582565
2026-02-24T18:34:36.948Z,H7noGdq7WnvbfdgnZzwYtRdZFCADe5rivUjuiofKpump,RETURN,0.000314,0.07313738892686253,0.020142949967511332,2,false,20932,17479,-0.04363057324840767,true,seen,evaluated,data insufficiency/unknown,low,nearby reason=evaluated,stopAtEntry,-0.0004999999999999311,0.015923566878980933,-0.04363057324840767
